OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
716,2016,NonResidential,Retail Store,Western Building,619 Western Avenue,Seattle,WA,98104.0,7666202570,7,DOWNTOWN,47.60223,-122.33602,1910,1.0,6,86204,0,86204,Retail Store,Other,67670.0,Retail Store,13534.0,,,,89.0,43.5,45.0,596.7999878,594.5,3241917.0,3350477.0,0.0,655304.375,2235899.0,10060.18066,1006018.0,False,,Compliant,,69.02,0.8
717,2016,Nonresidential COS,Warehouse,Airport Way Ctr - Bldg C,2203 Airport Way S,Seattle,WA,98134.0,7666203240,2,GREATER DUWAMISH,47.5829,-122.32417,1985,1.0,2,145158,0,145158,"Non-Refrigerated Warehouse, Office, Other",Non-Refrigerated Warehouse,101633.0,Office,48544.0,Other,10270.0,,51.0,52.29999924,53.70000076,146.8999939,148.0,8384523.0,8615958.0,0.0,2069794.125,7062138.0,13223.84766,1322385.0,False,,Compliant,,119.46,0.82
718,2016,NonResidential,Large Office,Holgate Center,1737 Airport Way South,Seattle,WA,98134.0,7666203300,2,GREATER DUWAMISH,47.58716,-122.32214,1951,1.0,2,112896,0,112896,"Office, Parking",Office,110746.0,Parking,57500.0,,,,66.0,92.90000153,95.90000153,256.6000061,258.7000122,10287986.0,10622784.0,0.0,2470454.0,8429189.0,18587.96875,1858797.0,False,,Compliant,,157.48,1.39
719,2016,NonResidential,Distribution Center,MACMILLAN-PIPER EYRES WAREHOUSE,1762 6th Ave S,Seattle,WA,98134.0,7666203440,2,GREATER DUWAMISH,47.58685,-122.32501,1960,1.0,1,110613,0,110613,"Distribution Center, Office",Distribution Center,99551.0,Office,11061.0,,,,95.0,9.199999809,9.199999809,28.79999924,28.79999924,1015060.188,1015060.188,0.0,297497.0938,1015060.0,0.0,0.0,False,,Compliant,,7.08,0.06
720,2016,NonResidential,Warehouse,6th & Holgate Building,1930 6th Ave. South,Seattle,WA,98103.0,7666203467,2,GREATER DUWAMISH,47.58553,-122.32511,1951,1.0,4,149881,0,149881,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,119593.0,Office,30288.0,,,,97.0,16.10000038,19.10000038,26.79999924,29.89999962,2417401.25,2869350.25,0.0,206641.0,705059.0,17123.41992,1712342.0,False,,Compliant,,95.86,0.64
722,2016,NonResidential,Warehouse,(ID722)INDUSTRIAL TRANSFER WAREHOUSE,2440 6TH AVE S,Seattle,WA,98121.0,7666203530,2,GREATER DUWAMISH,47.58042,-122.32552,1951,1.0,3,98220,0,98220,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,129420.0,,,,,,12.0,50.0,50.70000076,146.3999939,147.1000061,6468090.0,6562048.5,0.0,1703866.125,5813591.0,6544.97998,654498.0,False,,Compliant,,75.29,0.77
723,2016,NonResidential,Distribution Center,North Coast Electric,2450 8th Ave S,Seattle,WA,98134.0,7666203538,2,GREATER DUWAMISH,47.58096,-122.32313,1970,1.0,1,84420,0,84420,"Distribution Center, Office, Retail Store",Distribution Center,44300.0,Office,24838.0,Retail Store,12349.0,,55.0,35.0,35.40000153,109.8000031,111.0999985,2848317.25,2882685.0,0.0,834793.875,2848317.0,0.0,0.0,False,,Compliant,,19.86,0.24
725,2016,NonResidential,Distribution Center,Pacific Millennial Realty LLC,3623 6th Ave S,Seattle,WA,98134.0,7666204100,2,GREATER DUWAMISH,47.57055,-122.3267,1961,1.0,1,73335,0,73335,"Distribution Center, Parking",Distribution Center,73335.0,Parking,0.0,,,,,70.90000153,74.5,148.6999969,152.5,5197118.0,5459973.5,0.0,764020.6875,2606839.0,25902.79297,2590279.0,False,,Compliant,,155.74,2.12
727,2016,NonResidential,Distribution Center,2700 4th Ave S (Best Fixture/Filson),2700 4th Ave S,Seattle,WA,98134.0,7666204225,2,GREATER DUWAMISH,47.5794,-122.32848,1928,1.0,2,56876,0,56876,"Distribution Center, Office, Retail Store",Distribution Center,48400.0,Office,4276.0,Retail Store,4200.0,,,31.5,35.40000153,70.19999695,74.40000153,1791715.625,2015776.625,0.0,296390.1875,1011283.0,7804.320313,780432.0,False,,Compliant,,48.5,0.85
728,2016,NonResidential,Warehouse,Pacific Iron & Metal,2230 4th Ave S,Seattle,WA,98134.0,7666204430,2,GREATER DUWAMISH,47.58241,-122.32866,1931,1.0,2,61200,0,61200,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61200.0,,,,,,16.0,80.30000305,86.40000153,145.1999969,151.6000061,4912143.0,5285776.5,0.0,522538.6875,1782902.0,31292.4082,3129241.0,False,,Compliant,,178.62,2.92
729,2016,NonResidential,Distribution Center,Gensco Incorporated,1703 6th Ave S,Seattle,WA,98134.0,7666204590,2,GREATER DUWAMISH,47.58772,-122.32686,1987,1.0,1,111908,0,111908,Distribution Center,Distribution Center,109090.0,,,,,,87.0,14.30000019,15.30000019,35.09999847,36.20000076,1555420.25,1667059.125,0.0,307886.3125,1050508.0,5049.119629,504912.0,False,,Compliant,,34.14,0.31
730,2016,NonResidential,Other,(ID#730)Campus 4:KC Metro Transit Ryerson Base,1200 4TH AVE S,Seattle,WA,98134.0,7666204685,2,GREATER DUWAMISH,47.5908,-122.32828,1986,3.0,2,63644,0,63644,"Other - Public Services, Parking",Other - Public Services,65700.0,Parking,0.0,,,,,104.4000015,113.4000015,244.6000061,254.0,6858533.5,7448018.0,0.0,1243467.5,4242711.0,26158.2207,2615822.0,False,,Compliant,,168.5,2.65
731,2016,NonResidential,Mixed Use Property,SALVATION ARMY (ID#731),1000 4TH AVE S,Seattle,WA,98134.0,7666204745,2,GREATER DUWAMISH,47.59439,-122.32839,1930,3.0,2,108753,18860,89893,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store, Worship Facility",Non-Refrigerated Warehouse,58605.0,Multifamily Housing,24338.0,Retail Store,18864.0,,,33.5,34.20000076,105.0999985,107.3000031,3639670.25,3714717.25,0.0,1066726.25,3639670.0,0.0,0.0,False,,Compliant,,25.37,0.23
732,2016,NonResidential,Supermarket / Grocery Store,70100122-Greenwood,100 NW 85th Street,Seattle,WA,98117.0,9231900160,6,NORTHWEST,47.69197,-122.35877,1970,1.0,1,141890,35545,106345,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,168735.0,Parking,0.0,Parking,0.0,,91.0,100.0,103.0,266.6000061,269.7999878,16865978.0,17384564.0,0.0,3825269.5,13051820.0,38141.5625,3814156.0,False,,Compliant,,293.56,2.07
734,2016,NonResidential,Small- and Mid-Sized Office,1455 Leary,1455 NW Leary Way,Seattle,WA,98107.0,2768302690,6,BALLARD,47.6633,-122.37549,2001,1.0,4,92092,21055,71037,Office,Office,70074.0,,,,,,5.0,68.69999695,68.69999695,215.8999939,215.8999939,4817062.0,4817062.0,0.0,1411800.0,4817062.0,0.0,0.0,False,,Compliant,,33.58,0.36
735,2016,NonResidential,Warehouse,Seattle Marine & Fishing Supply Co.,2121 West Commodore Way,Seattle,WA,98199.0,2771100415,7,MAGNOLIA / QUEEN ANNE,47.6592,-122.38437,1974,0.0,3,56259,0,56259,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,31582.0,Retail Store,20962.0,Office,3715.0,,,41.70000076,47.70000076,74.19999695,80.5,2346571.5,2685146.5,0.0,239653.2969,817697.0,15288.74121,1528874.0,False,,Compliant,,86.9,1.54
